liga_name;is_top;
UEFA Champions League. 1/8 finals. First leg;2
UEFA Europa League. 1/16 finals. First leg;2
England. Premier League;2
Spain. La Liga;2
Italy. Serie A;2
Germany. Bundesliga;2
France. Ligue 1;2
Russia. Premier League;2
Netherlands. Eredivisie;2
Portugal. Primeira Liga;2
England. FA Cup. Play-off. 1/16 finals. Replay;2
Copa Del Rey. 1/8 finals;2
Italian Cup. Semi-Finals. First leg;2
Germany. DFB Pokal. 1/8 finals;2
France. Coupe de France. Play-off. 1/8 finals;2
England. EFL Championship;1
National teams. International friendlies;0
Argentina. Superleague;1
Australia. A-League;1
Austria. 2. Liga;0
Austria. Bundesliga;1
Austrian Cup. Play-off. Quarter Final;1
Belgian Cup. Semi-Finals. Second leg;2
Belgium. 1-st division B;0
Belgium. First Division A;1
Belgium. Pro League. Reserve;0
Bolivia. LFPB. Apertura;0
Brazil. Alagoano League;0
Brazil. Amazonense;0
Brazil. Baiano;0
Brazil. Campeonato do Nordeste;0
Brazil. Campeonato Potiguar;0
Brazil. Carioca. Guanabara Cup;0
Brazil. Catarinense;0
Brazil. Cearense;0
Brazil. Gaucho;0
Brazil. Goiano;0
Brazil. Matogrossense;0
Brazil. Mineiro;0
Brazil. Paranaense;0
Brazil. Paulista. 1st League;0
Brazil. Paulista. 2nd League;0
Brazil. Paulista. 3rd League;0
Brazil. Pernambucano;0
Brazil. Piauiense;0
Colombia. Primera A. Apertura;0
Colombia. Primera B. Apertura;0
Copa Libertadores. Qualification. 1st stage. Second leg;1
Costa Rica. Primera Division. Clausura;0
Croatia. 1. HNL;1
Cyprus. First Division;1
Denmark. Superligaen;1
Egypt. Premier League;1
England. League One;1
England. League Two;1
England. National League;1
England. National League. North;1
England. National League. South;1
England. Southern Football League. Premier Division. Central;1
England. Southern Football League. Premier Division. South;1
France. 2nd League;1
France. 3rd league;1
Friendly matches;1
Germany. 2. Bundesliga;2
Germany. 3. Liga;1
Germany. Regionalliga. North-East;1
Germany. Regionalliga. West;1
Gibraltar. National League, Challenge Group;0
Greece Cup. 1/8 finals. Second leg;1
Greece. Football league;1
Greece. Super League;1
Greece. Super League 2;1
Greek Cup. Play-off. Quarter Finals. First leg;1
Guatemala. Nacional Liga. Clausura;0
Honduras. National league. Clausura;0
Hungary. League NB II;0
India. Super League;1
Iran. Pro League;1
Israel. Liga Leumit;0
Israel. Premier League;1
Italy. Serie B;1
Jamaica. Premier League;0
Japan. Super Cup;1
Kuwait. Premier League;1
Mexico Cup. Apertura. 1/8 finals. Second leg;0
Mexico. Liga de Ascenso. Clausura;0
Mexico. Primera Division. Clausura;1
Mexico. Youth League (U20);0
Netherlands. Eerste Divisie;1
New Zealand. Premier League;1
Northern Ireland. Irish Cup;0
Poland. Ekstraklasa;1
Portugal. Segunda Liga;1
Portugal. Youth league (U23);1
Qatar. Stars League;0
Romania. League 1;0
Saudi Arabia. Premier League;1
Scotland. Champion League;1
Scotland. League One;0
Scotland. League Two;0
Scotland. Premier League;1
Slovakia. Superliga;1
South Africa. Premier League;1
Spain. Segunda Division;1
Switzerland. Challenge League;0
Switzerland. Super League;1
Tanzania. Premier League;0
Turkey. 1. Lig;0
Turkey. Superliga;1
Ukraine. Premier Liga;1
Wales. League Of Wales. Final;0
Women. England. Super League;1
Women. Olympic Games qualification tournament. CONCACAF;0
Youth CONMEBOL Pre-Olympic Tournament;1
Spain. Primera Division. Head-to-head by tournament outrights;0
Italy. Serie A. Head-to-head by tournament outrights;0
Germany. Bundesliga. Head-to-head by tournament outrights;0
France. League 1. Head-to-head by the championship outrights;
Chile. Primera Division;1
England. Isthmian League. Premier Division;1
England. Northern Premier League. Premier Division;1
England. Premier League 2 (U23);1
Finnish Cup. Group stage;1
Ghana. Premier League;0
India. I-league;0
Morocco. Botola;0
Myanmar. National League;0
Oman. Premier League;0
UAE. Division 1;0
Uganda. Premier League;0
Women. Mexico. Primera Division. Clausura;0
NHL. Regular Season;2
KHL. Regular Season;2
Euro Hockey Tour. Sweden;0
AHL. Regular Season;2
MHL. Regular Season;1
VHL. Regular Season;2
Kazakhstan. Major League;1
Sweden. SHL;1
Finland. Liiga;1
Champions League. Final;0
Asian League;0
Austria. EBEL. Play-off;0
Austria. EBEL. Play-out;0
Belarus. Extra League. Winners stage;0
Belarus. Extraliga;1
Belarus. Extraliga. Play-out group;0
Canada. QMJHL. Regular season;0
Czech Republic. 1.Liga. Promotion Round;0
Czech Republic. 1st League. Play-out group;0
Czech Republic. Extraliga;1
Denmark. Metal Ligaen;0
France. League Magnus;0
Germany. DEL;2
Germany. DEL2;0
Hungary. Erste Liga. Champion group;0
Norway. 1st Division;0
Norway. GET Ligaen;2
OHL. Regular Season;1
Poland. PHL;0
Slovakia. 1.Liga, Promotion Round;0
Slovakia. Tipsport League;0
Sweden. Allettan. Norra;0
Sweden. Allettan. Södra;0
Sweden. Allsvenskan;1
Sweden. HockeyEttan. Norra;0
Sweden. HockeyEttan. Ostra;0
Sweden. HockeyEttan. Sodra;0
Sweden. HockeyEttan. Vastra;0
Switzerland. National League;0
Switzerland. Swiss League;0
Women. Sweden. SDHL;0
Finland. Mestis;0
Hungary. Erste Liga. Play out group;0
Slovakia. 1st Liga, Playout;0
Switzerland Cup. Final;2
Algeria. Division 2;0
Algeria. First division;0
Arabic Countries Champions;0
Argentina. Torneo Federal A;0
Costa Rica. Liga de Ascenso. Clausura;0
Côte d’Ivoire. Ligue 1;0
England. Professional Development League (U23);1
Finland. Suomen Cup. Kakkonen Group 2;1
Gibraltar. National League. Championship Group;0
Italy. Primavera 1;1
Kenya. Premier League;0
Palestine. West Bank Premier League;0
Paraguay. Primera Division. Apertura;0
Peru. Primera Division. Apertura;0
Portuguese Cup. Semi-Finals;2
South Africa. First Division;0
Spain. Tercera Division. Group 12;0
UAE. Pro League;1
Venezuela. Primera Division;0
Venezuela. Primera Division. Apertura;0
Wales. 1st Division. South;1
Women. Australia. W-League;0
Women. Belgium. Super League;0
Zambia. Premier League;0
Great Britain. Elite League;2
World Championships (U20). Division IIB. South Korea;0
England. EFL Cup. Play-off. Final;0
France. Coupe de France. Play-off. Quarter-Finals;2
Portugal. Taca de Portugal. Play-off. Semi-Finals. First leg;0
Match Premier Cup;2
Argentina. Primera B, Clausura;0
Azerbaijan. Premier League;0
Botswana. Premier League;0
Brasil. Acreano;0
Brasil. Brasiliense;0
Brazil. Campeonato Sergipano;0
Brazil. Capixaba;0
Brazil. Maranhense;0
Brazil. Paraibano;0
CAF Confederation Cup. Group stage;0
Cameroon. Premier Division;0
Copa del Rey. Quarter Finals;2
El Salvador. Primera Division. Clausura;0
England. FA Trophy. Quarter Finals;0
Italy. Serie C. Group A;0
Italy. Serie C. Group B;0
Italy. Serie C. Group C;0
Italy. Serie D. Group A;0
Italy. Serie D. Group B;0
Italy. Serie D. Group C;0
Italy. Serie D. Group D;0
Italy. Serie D. Group E;0
Italy. Serie D. Group F;0
Italy. Serie D. Group G;0
Italy. Serie D. Group H;0
Italy. Serie D. Group I;0
Malta. Premier League;0
Netherlands. 2nd division;0
Nicaragua. Primera División. Clausura;0
Nigeria. Professional League;0
Portugal. Campeonato de Portugal;1
Senegal. Ligue 1;0
Spain. Segunda B. Group I;1
Spain. Segunda B. Group II;1
Spain. Segunda B. Group III;1
Spain. Segunda B. Group IV;1
Spain. Tercera Division. Group 10;0
Spain. Tercera Division. Group 11;0
